x_m,y_m
-400.1878,-329.5516
-399.6813,-323.5950
-399.1747,-317.6383
-398.6682,-311.6817
-398.1616,-305.7250
-397.6550,-299.7684
-397.1485,-293.8117
-396.6419,-287.8551
-396.1353,-281.8984
-395.6288,-275.9418
-395.1222,-269.9851
-394.6156,-264.0285
-394.1091,-258.0718
-393.6025,-252.1152
-393.0960,-246.1585
-392.5894,-240.2019
-392.0828,-234.2452
-391.5763,-228.2886
-391.0697,-222.3319
-390.5776,-216.6036
-390.0855,-210.8754
-389.5934,-205.1471
-389.1012,-199.4188
-388.6091,-193.6905
-388.1170,-187.9623
-387.6249,-182.2340
-387.1328,-176.5057
-386.6407,-170.7774
-386.1485,-165.0492
-385.6564,-159.3209
-385.1643,-153.5926
-384.6722,-147.8643
-384.1801,-142.1361
-383.6880,-136.4078
-383.1958,-130.6795
-382.6859,-124.8268
-382.1759,-118.9741
-381.6659,-113.1214
-381.1560,-107.2687
-380.6460,-101.4160
-380.1360,-95.5633
-379.6261,-89.7106
-379.1161,-83.8579
-378.6061,-78.0052
-378.0961,-72.1525
-377.5862,-66.2998
-377.0762,-60.4471
-376.5662,-54.5944
-376.0767,-49.0928
-375.5871,-43.5911
-375.0975,-38.0895
-374.6079,-32.5879
-374.1184,-27.0863
-373.6288,-21.5846
-373.1392,-16.0830
-372.6496,-10.5814
-372.1601,-5.0798
-371.6705,0.4218
-371.1809,5.9235
-370.6633,11.5423
-370.1456,17.1611
-369.6280,22.7799
-369.1104,28.3987
-368.5927,34.0176
-368.0751,39.6364
-367.5575,45.2552
-367.0398,50.8740
-366.5036,56.5693
-365.9673,62.2645
-365.4310,67.9598
-364.8948,73.6551
-364.3585,79.3503
-363.8222,85.0456
-363.2487,90.8938
-362.6752,96.7419
-362.1017,102.5901
-361.5281,108.4382
-361.0713,112.6428
-360.6144,116.8474
-360.1575,121.0519
-359.7103,122.8866
-359.0542,124.5268
-358.1890,125.9723
-357.1149,127.2232
-355.8317,128.2796
-354.4708,129.1344
-353.0321,129.7877
-351.5157,130.2394
-349.9215,130.4896
-348.2349,130.6147
-346.4560,130.6147
-344.5847,130.4896
-342.6211,130.2394
-340.6867,130.0170
-338.7814,129.8224
-336.9053,129.6556
-335.0583,129.5166
-333.2454,129.4471
-331.4665,129.4471
-329.7216,129.5166
-328.0107,129.6556
-326.4360,129.9892
-324.9973,130.5174
-323.6947,131.2401
-322.5282,132.1575
-321.4249,133.1722
-320.3847,134.2841
-319.4078,135.4934
-318.4940,136.7999
-317.7504,138.0717
-317.1769,139.3087
-316.7735,140.5110
-316.5402,141.6786
-316.3652,142.8809
-316.2485,144.1179
-316.1902,145.3897
-316.1902,146.6962
-316.9970,150.2510
-317.8039,153.8058
-318.8796,158.1099
-319.9554,162.4141
-321.0312,166.7183
-322.2414,171.3972
-323.4517,176.0760
-324.6619,180.7549
-325.8722,185.4338
-327.1631,190.3375
-328.4540,195.2412
-329.7449,200.1449
-331.0359,205.0486
-332.3268,209.9523
-333.5941,214.9665
-334.8615,219.9806
-336.1288,224.9948
-337.3962,230.0090
-338.6243,235.2074
-339.8523,240.4058
-341.0804,245.6041
-342.2299,251.1708
-343.3794,256.7375
-343.8362,260.0734
-344.2931,263.4092
-344.6795,266.6651
-345.0659,269.9211
-345.3818,273.0971
-345.6978,276.2731
-345.9432,279.3692
-346.1887,282.4652
-346.3636,285.4814
-346.5386,288.4976
-346.6115,291.5798
-346.6844,294.6619
-346.6553,297.8101
-346.6261,300.9584
-346.4949,304.1726
-346.3636,307.3868
-346.1303,310.6671
-345.8970,313.9473
-345.5795,318.2515
-345.2620,322.5557
-344.9444,326.8598
-344.5847,331.6760
-344.2251,336.4921
-343.8654,341.3082
-343.5057,346.1243
-343.1208,351.2476
-342.7358,356.3710
-342.3509,361.4943
-341.9659,366.6176
-341.5810,371.7409
-341.1792,377.0690
-340.7774,382.3971
-340.3756,387.7251
-339.9738,393.0532
-339.5720,398.3813
-339.1702,403.7094
-338.7620,408.7660
-338.3537,413.8226
-337.9454,418.8792
-337.5371,423.9358
-337.1289,428.9924
-336.7109,433.6417
-336.2929,438.2910
-335.8749,442.9404
-335.4569,447.5897
-334.8056,453.5456
-334.1543,459.5015
-333.2211,464.7276
-332.2344,469.8634
-331.1943,474.9089
-330.1007,479.8640
-328.9537,484.7288
-327.6608,489.6839
-326.2221,494.7294
-324.6376,499.8652
-322.9073,505.0914
-321.0360,510.4218
-319.0238,515.8564
-316.8707,521.3953
-315.7236,524.2169
-314.5766,527.0385
-313.3858,529.8427
-312.1950,532.6469
-310.9604,535.4337
-309.7259,538.2205
-308.4476,540.9900
-307.1693,543.7594
-305.8473,546.5115
-304.5252,549.2636
-303.0452,552.0990
-301.5652,554.9345
-299.9273,557.8534
-298.2893,560.7722
-296.4934,563.7745
-294.6975,566.7768
-292.7436,569.8624
-290.7897,572.9481
-288.8212,575.8982
-286.8528,578.8484
-284.8697,581.6630
-282.8867,584.4776
-280.8890,587.1567
-278.8914,589.8358
-276.8792,592.3794
-274.8670,594.9230
-272.6798,597.5534
-270.4926,600.1839
-268.1305,602.9012
-265.7683,605.6186
-263.2312,608.4228
-260.6940,611.2269
-257.9819,614.1180
-255.2698,617.0091
-252.5018,619.8168
-249.7338,622.6244
-246.9099,625.3487
-244.0860,628.0730
-241.2062,630.7139
-238.3264,633.3547
-235.3907,635.9122
-232.4550,638.4697
-229.4343,640.9751
-226.4136,643.4804
-223.3078,645.9337
-220.2019,648.3869
-217.0111,650.7880
-213.8202,653.1891
-210.5443,655.5381
-207.2684,657.8871
-203.9342,660.1562
-200.5999,662.4253
-197.2073,664.6144
-193.8148,666.8036
-190.3639,668.9128
-186.9130,671.0220
-183.4038,673.0513
-179.8946,675.0806
-176.2711,677.0960
-172.6477,679.1115
-168.9100,681.1130
-165.1724,683.1145
-161.3205,685.1021
-157.4686,687.0897
-153.5025,689.0634
-149.5364,691.0371
-145.5679,692.8614
-141.5994,694.6857
-137.6284,696.3606
-133.6575,698.0354
-129.6841,699.5609
-125.7107,701.0863
-121.7349,702.4624
-117.7591,703.8384
-113.6836,705.1797
-109.6081,706.5210
-105.4331,707.8275
-101.2580,709.1341
-96.9832,710.4059
-92.7085,711.6777
-88.3341,712.9147
-83.9598,714.1518
-79.4420,715.2950
-74.9243,716.4382
-70.2631,717.4876
-65.6020,718.5370
-60.7975,719.4926
-55.9929,720.4482
-51.0451,721.3099
-46.0972,722.1717
-41.1201,722.9327
-36.1430,723.6937
-31.1368,724.3539
-26.1306,725.0141
-21.0952,725.5736
-16.0598,726.1330
-10.9953,726.5917
-5.9307,727.0504
-0.1096,727.5623
5.7116,728.0743
11.5327,728.5862
16.4923,729.0171
21.4519,729.4480
26.4114,729.8789
31.3710,730.3098
36.3306,730.7406
41.6859,731.2028
47.0413,731.6650
52.3967,732.1271
57.7520,732.5893
63.1074,733.0514
68.4627,733.5136
74.1008,733.9981
79.7389,734.4826
85.3770,734.9670
91.0151,735.4515
96.6531,735.9360
102.2912,736.4205
107.9293,736.9050
113.8840,737.3716
119.8387,737.8383
125.7934,738.3049
131.7481,738.7715
137.7028,739.2381
143.6575,739.7047
149.6122,740.1714
