x_mm,y_mm
0.000,0.000
11.945,0.000
23.890,0.000
35.835,0.000
47.780,0.000
59.725,0.000
71.670,0.000
83.615,0.000
95.560,0.000
107.505,0.000
119.450,0.000
131.395,0.000
143.340,0.000
155.285,0.000
167.230,0.000
179.175,0.000
191.120,0.000
203.065,0.000
215.010,0.000
226.955,0.000
238.900,0.000
250.845,0.000
262.790,0.000
274.735,0.000
286.680,0.000
298.625,0.000
310.570,0.000
322.515,0.000
334.460,0.000
346.405,0.000
358.350,0.000
370.295,0.000
382.240,0.000
394.185,0.000
406.130,0.000
418.075,0.000
430.020,0.000
441.965,0.000
453.910,0.000
465.855,0.000
477.800,0.000
488.279,-1.553
498.758,-3.106
509.238,-4.659
519.717,-6.212
530.196,-7.765
540.675,-9.318
551.155,-10.871
561.634,-12.424
572.125,-16.945
582.615,-21.466
593.106,-25.987
603.597,-30.508
614.088,-35.029
624.578,-39.550
632.536,-45.882
640.494,-52.215
648.452,-58.547
656.410,-64.880
664.368,-71.212
670.839,-80.198
677.310,-89.185
683.782,-98.171
690.253,-107.157
696.724,-116.144
703.195,-125.130
709.667,-134.116
713.380,-144.043
717.093,-153.969
720.806,-163.895
724.519,-173.822
728.233,-183.748
731.946,-193.674
735.659,-203.600
737.960,-214.375
740.261,-225.150
742.563,-235.925
744.864,-246.700
747.165,-257.475
749.466,-268.250
751.767,-279.025
754.069,-289.800
755.895,-301.002
757.721,-312.204
759.548,-323.406
761.374,-334.607
763.200,-345.809
765.027,-357.011
766.853,-368.213
768.679,-379.415
770.506,-390.617
772.332,-401.819
774.158,-413.021
775.985,-424.223
777.811,-435.425
779.721,-446.437
781.631,-457.449
783.542,-468.461
785.452,-479.473
787.362,-490.485
789.272,-501.497
791.182,-512.509
793.093,-523.521
795.003,-534.533
796.913,-545.545
798.823,-556.557
800.733,-567.569
802.644,-578.581
803.221,-589.760
803.799,-600.940
804.377,-612.119
804.955,-623.298
805.532,-634.478
806.110,-645.657
806.688,-656.836
807.265,-668.016
807.843,-679.195
808.421,-690.374
808.999,-701.554
809.576,-712.733
810.154,-723.912
810.732,-735.092
810.814,-745.986
810.897,-756.880
810.980,-767.775
811.063,-778.669
811.146,-789.563
811.229,-800.458
811.311,-811.352
811.394,-822.247
811.477,-833.141
811.068,-844.983
810.659,-856.825
810.250,-868.667
809.840,-880.509
809.431,-892.352
809.022,-904.194
808.613,-916.036
808.204,-927.878
807.795,-939.720
807.385,-951.562
806.976,-963.404
806.567,-975.247
806.158,-987.089
805.749,-998.931
805.340,-1010.773
804.930,-1022.615
804.521,-1034.457
804.112,-1046.299
803.703,-1058.142
803.294,-1069.984
802.570,-1081.850
801.846,-1093.717
801.122,-1105.584
800.398,-1117.451
799.674,-1129.317
798.951,-1141.184
798.227,-1153.051
797.503,-1164.917
796.779,-1176.784
796.055,-1188.651
795.331,-1200.517
794.607,-1212.384
793.883,-1224.251
793.160,-1236.118
792.436,-1247.984
791.712,-1259.851
790.988,-1271.718
791.177,-1283.046
791.367,-1294.375
791.557,-1305.704
791.746,-1317.032
791.936,-1328.361
792.125,-1339.689
792.315,-1351.018
795.670,-1361.890
799.026,-1372.762
802.382,-1383.633
805.738,-1394.505
809.094,-1405.377
812.449,-1416.249
815.805,-1427.121
820.559,-1437.874
825.314,-1448.627
830.068,-1459.381
834.822,-1470.134
839.576,-1480.888
844.331,-1491.641
849.085,-1502.395
853.839,-1513.148
858.593,-1523.901
863.347,-1534.655
866.466,-1544.753
869.585,-1554.852
872.704,-1564.950
875.823,-1575.048
878.941,-1585.147
882.060,-1595.245
880.840,-1606.248
879.620,-1617.250
878.399,-1628.253
877.179,-1639.255
874.193,-1649.420
871.208,-1659.585
868.222,-1669.751
865.236,-1679.916
862.250,-1690.081
857.063,-1700.873
851.876,-1711.665
846.688,-1722.458
841.501,-1733.250
836.314,-1744.042
831.126,-1754.834
825.939,-1765.626
820.751,-1776.418
815.564,-1787.210
810.377,-1798.002
805.189,-1808.794
800.002,-1819.587
794.815,-1830.379
789.627,-1841.171
784.440,-1851.963
779.253,-1862.755
774.065,-1873.547
768.878,-1884.339
763.690,-1895.131
762.110,-1905.747
760.529,-1916.362
758.949,-1926.977
757.369,-1937.592
755.788,-1948.207
754.208,-1958.822
752.627,-1969.437
751.047,-1980.052
752.217,-1990.408
753.388,-2000.764
754.558,-2011.120
755.728,-2021.476
756.899,-2031.832
758.069,-2042.188
762.933,-2053.094
767.796,-2063.999
772.660,-2074.905
777.524,-2085.810
782.387,-2096.715
788.189,-2106.501
793.990,-2116.287
799.791,-2126.073
805.593,-2135.859
811.394,-2145.645
817.196,-2155.431
822.997,-2165.217
828.798,-2175.003
834.600,-2184.789
840.401,-2194.574
846.203,-2204.360
852.004,-2214.146
854.802,-2224.644
857.600,-2235.142
860.398,-2245.639
863.196,-2256.137
865.994,-2266.635
865.472,-2276.654
864.951,-2286.673
864.429,-2296.691
863.907,-2306.710
863.385,-2316.729
862.863,-2326.748
859.237,-2337.427
855.612,-2348.106
851.986,-2358.786
848.360,-2369.465
844.734,-2380.144
837.088,-2388.105
829.442,-2396.066
821.796,-2404.027
814.150,-2411.988
806.503,-2419.949
798.857,-2427.910
791.211,-2435.871
781.850,-2441.404
772.490,-2446.937
763.129,-2452.470
753.768,-2458.004
744.407,-2463.537
735.046,-2469.070
725.686,-2474.603
715.827,-2479.252
705.968,-2483.900
696.108,-2488.549
686.249,-2493.198
676.390,-2497.847
666.531,-2502.495
656.672,-2507.144
646.813,-2511.793
636.954,-2516.442
627.089,-2521.158
617.224,-2525.874
607.359,-2530.590
597.494,-2535.306
587.629,-2540.022
577.765,-2544.738
567.900,-2549.454
559.511,-2556.320
551.122,-2563.185
542.733,-2570.051
534.345,-2576.917
525.956,-2583.782
517.567,-2590.648
510.776,-2600.058
503.985,-2609.467
497.193,-2618.877
490.402,-2628.287
483.611,-2637.697
476.820,-2647.107
470.028,-2656.517
463.237,-2665.927
456.446,-2675.337
450.019,-2685.226
443.593,-2695.116
437.166,-2705.006
430.740,-2714.896
424.313,-2724.785
417.886,-2734.675
411.460,-2744.565
405.033,-2754.454
398.607,-2764.344
392.180,-2774.234
385.754,-2784.124
379.327,-2794.013
372.901,-2803.903
366.474,-2813.793
360.047,-2823.682
353.621,-2833.572
347.194,-2843.462
340.768,-2853.352
334.341,-2863.241
327.777,-2873.162
321.213,-2883.082
314.650,-2893.002
308.086,-2902.922
301.522,-2912.843
294.958,-2922.763
288.394,-2932.683
281.830,-2942.603
275.266,-2952.524
268.702,-2962.444
262.138,-2972.364
255.574,-2982.284
249.010,-2992.204
242.447,-3002.125
235.883,-3012.045
229.319,-3021.965
222.755,-3031.885
216.191,-3041.806
209.627,-3051.726
203.063,-3061.646
196.499,-3071.566
189.935,-3081.487
183.371,-3091.407
176.807,-3101.327
170.244,-3111.247
163.680,-3121.168
157.116,-3131.088
150.552,-3141.008
143.988,-3150.928
137.424,-3160.849
130.860,-3170.769
124.296,-3180.689
117.732,-3190.609
111.168,-3200.530
104.604,-3210.450
98.041,-3220.370
91.477,-3230.290
84.913,-3240.210
78.349,-3250.131
71.785,-3260.051
65.221,-3269.971
58.657,-3279.891
52.093,-3289.812
45.529,-3299.732
38.965,-3309.652
32.401,-3319.572
25.838,-3329.493
19.274,-3339.413
12.710,-3349.333
6.146,-3359.253
-0.418,-3369.174
-6.982,-3379.094
-13.546,-3389.014
-20.110,-3398.934
-26.674,-3408.855
-33.238,-3418.775
-39.802,-3428.695
-46.365,-3438.615
-52.929,-3448.536
-59.493,-3458.456
-66.057,-3468.376
-72.621,-3478.296
-79.185,-3488.216
-85.749,-3498.137
-92.313,-3508.057
-98.877,-3517.977
-105.441,-3527.897
-112.005,-3537.818
-118.568,-3547.738
-125.132,-3557.658
-131.696,-3567.578
-138.260,-3577.499
-144.824,-3587.419
-151.388,-3597.339
-157.952,-3607.259
-164.516,-3617.180
-171.080,-3627.100
-177.644,-3637.020
-184.208,-3646.940
-190.771,-3656.861
-197.335,-3666.781
-203.899,-3676.701
-210.463,-3686.621
-217.027,-3696.542
-223.591,-3706.462
-230.155,-3716.382
-236.719,-3726.302
-243.283,-3736.222
-249.847,-3746.143
-256.411,-3756.063
-262.974,-3765.983
-269.538,-3775.903
-276.102,-3785.824
-282.666,-3795.744
-289.230,-3805.664
-295.794,-3815.584
-302.358,-3825.505
-308.922,-3835.425
-315.486,-3845.345
-322.050,-3855.265
-328.614,-3865.186
-335.177,-3875.106
-342.340,-3884.376
-349.502,-3893.646
-356.664,-3902.916
-363.827,-3912.186
-370.989,-3921.456
-378.151,-3930.726
-385.314,-3939.996
-392.476,-3949.266
-399.638,-3958.536
-406.801,-3967.806
-413.963,-3977.076
-421.125,-3986.346
-428.288,-3995.616
-435.450,-4004.886
-442.612,-4014.156
