index,part_code,orientation,x_mm,y_mm,z_mm,heading_degrees,length_mm,width_mm,height_mm,turn_degrees,geometry_source
1,C8205,RIGHT,0.0,0.0,0,0.0,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
2,C8205,RIGHT,350.0,0.0,0,0.0,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
3,C8205,RIGHT,700.0,0.0,0,0.0,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
4,C8205,RIGHT,1050.0,0.0,0,0.0,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
5,C8205,RIGHT,1400.0,0.0,0,0.0,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
6,C8205,RIGHT,1750.0,0.0,0,0.0,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
7,C8205,RIGHT,2100.0,0.0,0,0.0,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
8,C8205,RIGHT,2450.0,0.0,0,0.0,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
9,C8205,RIGHT,2800.0,0.0,0,0.0,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
10,C8205,RIGHT,3150.0,0.0,0,0.0,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
11,C8205,RIGHT,3500.0,0.0,0,0.0,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
12,C8205,RIGHT,3850.0,0.0,0,0.0,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
13,C8205,RIGHT,4200.0,0.0,0,0.0,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
14,C8205,RIGHT,4550.0,0.0,0,0.0,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
15,C8006,RIGHT,4900.0,0.0,0,0.0,87,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
16,C8005,LEFT,4987.0,0.0,0,0.0,78,78,8,-90,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
17,C8031,RIGHT,5065.0,0.0,0,-90.0,78,78,8,-90,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
18,C153,LEFT,5065.0,-78.0,0,-180.0,87,78,8,-22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
19,C153,RIGHT,4978.0,-78.0,0,-202.5,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
20,C154,LEFT,4897.622,-44.707,0,-180.0,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
21,C154,RIGHT,4810.622,-44.707,0,-157.5,87,78,8,-22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
22,C8200,RIGHT,4730.245,-78.0,0,-180.0,78,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
23,C8235,RIGHT,4652.245,-78.0,0,-180.0,87,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
24,C8235,RIGHT,4565.245,-78.0,0,-180.0,87,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
25,C8235,RIGHT,4478.245,-78.0,0,-180.0,87,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
26,C8235,RIGHT,4391.245,-78.0,0,-180.0,87,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
