index,part_code,orientation,x_mm,y_mm,z_mm,heading_degrees,length_mm,width_mm,height_mm,turn_degrees,scale,geometry_source,source_3mf
1,C8205,RIGHT,0.0,0.0,0,0.0,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
2,C8205,RIGHT,336.0,0.0,0,0.0,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
3,C8205,RIGHT,672.0,0.0,0,0.0,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
4,C8205,RIGHT,1008.0,0.0,0,0.0,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
5,C8205,RIGHT,1344.0,0.0,0,0.0,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
6,C8205,RIGHT,1680.0,0.0,0,0.0,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
7,C8205,RIGHT,2016.0,0.0,0,0.0,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
8,C8205,RIGHT,2352.0,0.0,0,0.0,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
9,C8205,RIGHT,2688.0,0.0,0,0.0,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
10,C8205,RIGHT,3024.0,0.0,0,0.0,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
11,C8205,RIGHT,3360.0,0.0,0,0.0,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
12,C8205,RIGHT,3696.0,0.0,0,0.0,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
13,C8205,RIGHT,4032.0,0.0,0,0.0,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
14,C8205,RIGHT,4368.0,0.0,0,0.0,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
15,C8006,RIGHT,4704.0,0.0,0,0.0,642.974,167.01,9.0,0.0,0.96,3MF,c8006.3mf
16,C8005,LEFT,5346.974,0.0,0,0.0,335.999,156.0,21.713,0.0,0.96,3MF,c8005.3mf
17,C8031,RIGHT,5682.973,0.0,0,0.0,396.232,156.0,7.75,0.0,0.96,3MF,c8031a.3mf
18,C153,LEFT,6079.206,0.0,0,0.0,193.24,184.164,9.0,-22.5,0.96,3MF,c153l.3mf
19,C153,RIGHT,6272.446,0.0,0,-22.5,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
20,C154,LEFT,6450.977,-73.95,0,0.0,165.398,141.593,9.0,-22.5,0.96,3MF,c154l.3mf
21,C154,RIGHT,6616.375,-73.95,0,-22.5,165.398,141.593,9.0,22.5,0.96,3MF,c154l.3mf
22,C8200,RIGHT,6769.183,-137.245,0,0.0,149.76,87.0,6.0,0.0,0.96,3MF,c8200.3mf
23,C8235,RIGHT,6918.943,-137.245,0,0.0,250.551,196.04,6.0,0.0,0.96,3MF,c8235l.3mf
24,C8235,RIGHT,7169.495,-137.245,0,0.0,250.551,196.04,6.0,0.0,0.96,3MF,c8235l.3mf
25,C8235,RIGHT,7420.046,-137.245,0,0.0,250.551,196.04,6.0,0.0,0.96,3MF,c8235l.3mf
26,C8235,RIGHT,7670.598,-137.245,0,0.0,250.551,196.04,6.0,0.0,0.96,3MF,c8235l.3mf
27,C8235,RIGHT,7921.149,-137.245,0,0.0,250.551,196.04,6.0,0.0,0.96,3MF,c8235l.3mf
28,C153,RIGHT,8171.7,-137.245,0,0.0,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
29,C153,RIGHT,8364.941,-137.245,0,22.5,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
30,C153,RIGHT,8543.471,-63.295,0,45.0,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
31,C8205,RIGHT,8680.113,73.346,0,67.5,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
32,C8205,RIGHT,8808.695,383.77,0,67.5,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
33,C8205,RIGHT,8937.276,694.193,0,67.5,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
34,C8205,RIGHT,9065.858,1004.617,0,67.5,336.0,156.0,6.0,0.0,0.96,3MF,c8205.3mf
35,C8005,LEFT,9194.439,1315.04,0,67.5,335.999,156.0,21.713,0.0,0.96,3MF,c8005.3mf
36,C8031,RIGHT,9323.021,1625.463,0,67.5,396.232,156.0,7.75,0.0,0.96,3MF,c8031a.3mf
37,C8010,LEFT,9474.652,1991.534,0,67.5,251.165,218.679,9.0,0.0,0.96,3MF,c8010l.3mf
38,C151,LEFT,9570.769,2223.58,0,67.5,251.165,218.679,9.0,0.0,0.96,3MF,c151l.3mf
39,C151,RIGHT,9666.885,2455.626,0,67.5,251.165,218.679,9.0,0.0,0.96,3MF,c151l.3mf
40,C8207,RIGHT,9763.002,2687.672,0,67.5,168.0,156.0,6.0,0.0,0.96,3MF,c8207.3mf
41,C153,RIGHT,9827.293,2842.884,0,67.5,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
42,C153,RIGHT,9901.243,3021.415,0,90.0,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
43,C153,RIGHT,9901.243,3214.655,0,112.5,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
44,C153,RIGHT,9827.293,3393.186,0,135.0,193.24,184.164,9.0,22.5,0.96,3MF,c153l.3mf
