index,part_code,x_mm,y_mm,z_mm,heading_degrees,connector_length_mm,length_mm,width_mm,height_mm,turn_degrees,geometry_source,source_3mf
1,C8205,0.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
2,C8205,350.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
3,C8205,700.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
4,C8205,1050.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
5,C8205,1400.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
6,C8205,1750.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
7,C8205,2100.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
8,C8205,2450.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
9,C8205,2800.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
10,C8205,3150.0,0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
11,C153,3500.0,0.0,0,0.0,201.292,201.292,184.164,9.0,22.5,3MF,c153l.3mf
12,C154,3697.424,39.27,0,22.5,172.29,172.29,141.593,9.0,-22.5,3MF,c154l.3mf
13,C154,3866.404,72.882,0,0.0,172.29,172.29,141.593,9.0,-22.5,3MF,c154l.3mf
14,C153,4035.383,39.27,0,-22.5,201.292,201.292,184.164,9.0,22.5,3MF,c153l.3mf
15,C8205,4232.807,-0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
16,C8205,4582.807,-0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
17,C8205,4932.807,-0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
18,C8205,5282.807,-0.0,0,0.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
19,C151,5632.807,-0.0,0,0.0,261.63,261.63,218.679,9.0,45.0,3MF,c151l.3mf
20,C151,5874.522,100.121,0,45.0,261.63,261.63,218.679,9.0,45.0,3MF,c151l.3mf
21,C8205,5974.644,341.836,0,90.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
22,C8205,5974.644,691.836,0,90.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
23,C8205,5974.644,1041.836,0,90.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
24,C8205,5974.644,1391.836,0,90.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
25,C8205,5974.644,1741.836,0,90.0,350.0,350.0,156.0,6.0,0.0,3MF,c8205.3mf
26,C153,5974.644,2091.836,0,90.0,201.292,201.292,184.164,9.0,22.5,3MF,c153l.3mf
27,C153,5935.373,2289.26,0,112.5,201.292,201.292,184.164,9.0,22.5,3MF,c153l.3mf
